max_depth,n_tree,max_feature,roc_val,roc_train
5.0,5,sqrt,0.682,0.687
5.0,5,log2,0.661,0.668
5.0,5,None,0.717,0.718
10.0,5,sqrt,0.706,0.771
10.0,5,log2,0.679,0.743
10.0,5,None,0.717,0.796
15.0,5,sqrt,0.666,0.875
15.0,5,log2,0.651,0.826
15.0,5,None,0.687,0.913
20.0,5,sqrt,0.644,0.954
20.0,5,log2,0.628,0.919
20.0,5,None,0.657,0.966
25.0,5,sqrt,0.621,0.981
25.0,5,log2,0.613,0.964
25.0,5,None,0.643,0.982
30.0,5,sqrt,0.61,0.991
30.0,5,log2,0.601,0.985
30.0,5,None,0.636,0.988
,5,sqrt,0.586,0.995
,5,log2,0.57,0.995
,5,None,0.605,0.994
5.0,10,sqrt,0.704,0.713
5.0,10,log2,0.686,0.689
5.0,10,None,0.719,0.722
10.0,10,sqrt,0.708,0.787
10.0,10,log2,0.701,0.763
10.0,10,None,0.724,0.81
15.0,10,sqrt,0.688,0.909
15.0,10,log2,0.671,0.873
15.0,10,None,0.703,0.935
20.0,10,sqrt,0.668,0.976
20.0,10,log2,0.652,0.958
20.0,10,None,0.689,0.979
25.0,10,sqrt,0.66,0.994
25.0,10,log2,0.642,0.985
25.0,10,None,0.68,0.991
30.0,10,sqrt,0.645,0.999
30.0,10,log2,0.632,0.996
30.0,10,None,0.671,0.996
,10,sqrt,0.619,1.0
,10,log2,0.608,1.0
,10,None,0.645,1.0
5.0,15,sqrt,0.695,0.701
5.0,15,log2,0.696,0.704
5.0,15,None,0.719,0.721
10.0,15,sqrt,0.714,0.791
10.0,15,log2,0.697,0.765
10.0,15,None,0.729,0.816
15.0,15,sqrt,0.696,0.922
15.0,15,log2,0.677,0.878
15.0,15,None,0.711,0.942
20.0,15,sqrt,0.678,0.983
20.0,15,log2,0.656,0.961
20.0,15,None,0.699,0.983
25.0,15,sqrt,0.671,0.997
25.0,15,log2,0.647,0.99
25.0,15,None,0.695,0.993
30.0,15,sqrt,0.66,0.999
30.0,15,log2,0.64,0.998
30.0,15,None,0.685,0.996
,15,sqrt,0.645,1.0
,15,log2,0.631,1.0
,15,None,0.666,1.0
5.0,20,sqrt,0.712,0.717
5.0,20,log2,0.675,0.684
5.0,20,None,0.719,0.723
10.0,20,sqrt,0.721,0.797
10.0,20,log2,0.7,0.771
10.0,20,None,0.733,0.816
15.0,20,sqrt,0.705,0.924
15.0,20,log2,0.684,0.891
15.0,20,None,0.715,0.948
20.0,20,sqrt,0.685,0.985
20.0,20,log2,0.663,0.967
20.0,20,None,0.709,0.986
25.0,20,sqrt,0.678,0.998
25.0,20,log2,0.655,0.993
25.0,20,None,0.701,0.995
30.0,20,sqrt,0.673,1.0
30.0,20,log2,0.65,0.999
30.0,20,None,0.696,0.997
,20,sqrt,0.663,1.0
,20,log2,0.642,1.0
,20,None,0.672,1.0
5.0,25,sqrt,0.71,0.718
5.0,25,log2,0.66,0.669
5.0,25,None,0.72,0.723
10.0,25,sqrt,0.724,0.8
10.0,25,log2,0.703,0.772
10.0,25,None,0.731,0.818
15.0,25,sqrt,0.706,0.93
15.0,25,log2,0.686,0.893
15.0,25,None,0.717,0.948
20.0,25,sqrt,0.692,0.987
20.0,25,log2,0.668,0.97
20.0,25,None,0.715,0.987
25.0,25,sqrt,0.683,0.999
25.0,25,log2,0.655,0.995
25.0,25,None,0.702,0.994
30.0,25,sqrt,0.685,1.0
30.0,25,log2,0.658,0.999
30.0,25,None,0.699,0.998
,25,sqrt,0.67,1.0
,25,log2,0.658,1.0
,25,None,0.684,1.0
5.0,30,sqrt,0.715,0.722
5.0,30,log2,0.679,0.686
5.0,30,None,0.72,0.723
10.0,30,sqrt,0.721,0.798
10.0,30,log2,0.706,0.776
10.0,30,None,0.733,0.818
15.0,30,sqrt,0.705,0.932
15.0,30,log2,0.688,0.892
15.0,30,None,0.722,0.949
20.0,30,sqrt,0.69,0.989
20.0,30,log2,0.669,0.971
20.0,30,None,0.715,0.987
25.0,30,sqrt,0.693,0.999
25.0,30,log2,0.66,0.994
25.0,30,None,0.713,0.995
30.0,30,sqrt,0.691,1.0
30.0,30,log2,0.66,1.0
30.0,30,None,0.702,0.998
,30,sqrt,0.682,1.0
,30,log2,0.668,1.0
,30,None,0.689,1.0
